id,cuisine
35543,italian
35549,mexican
35238,french
11546,italian
19398,mexican
19395,korean
5987,southern_us
22261,japanese
36605,indian
22264,italian
48891,southern_us
48894,french
43879,mexican
40142,thai
43875,chinese
43874,mexican
43877,italian
43871,greek
43872,irish
27372,spanish
27373,thai
6792,cajun_creole
6791,chinese
46137,mexican
46132,french
32509,japanese
4641,southern_us
25289,mexican
25287,indian
25281,thai
16252,mexican
16250,mexican
32016,cajun_creole
32015,southern_us
32014,japanese
278,southern_us
19979,french
16258,italian
22485,italian
22487,mexican
12018,mexican
12014,mexican
22489,southern_us
26391,italian
26392,thai
17253,japanese
17254,italian
17256,mexican
10709,mexican
9529,italian
9258,italian
10703,chinese
9257,mexican
24883,indian
24882,italian
24881,italian
24880,spanish
24887,french
21618,mexican
24885,southern_us
46794,italian
49561,southern_us
21612,mexican
45118,southern_us
45447,french
45113,mexican
45117,southern_us
1156,chinese
44791,greek
8098,japanese
44794,southern_us
44244,french
42838,italian
22877,chinese
22873,southern_us
24087,mexican
49304,mexican
37791,brazilian
3514,italian
36846,mexican
36847,mexican
2688,mexican
2684,greek
2685,mexican
2680,irish
14626,indian
38646,thai
30410,italian
14681,southern_us
13053,french
13050,italian
13051,mexican
13057,italian
36159,moroccan
18700,thai
33503,filipino
33856,italian
18704,italian
41564,greek
41563,southern_us
41562,southern_us
27860,mexican
18035,italian
27573,italian
33625,southern_us
40854,italian
29380,greek
44422,indian
40961,cajun_creole
29764,mexican
29766,italian
29813,french
29812,irish
29811,italian
29386,jamaican
1177,chinese
23059,chinese
23507,chinese
23054,french
47216,mexican
23501,mexican
27618,mexican
19851,indian
39594,southern_us
39591,italian
29923,cajun_creole
39599,italian
6260,chinese
31230,southern_us
29433,italian
29100,indian
7182,mexican
7184,greek
22957,southern_us
34558,chinese
12836,indian
15287,italian
8014,italian
1218,chinese
8011,southern_us
8010,mexican
7457,thai
26627,russian
7452,russian
26620,mexican
26628,mexican
35933,italian
35932,italian
35936,thai
4594,italian
2746,mexican
28381,chinese
10882,japanese
28383,jamaican
22670,spanish
27377,italian
26562,spanish
34812,indian
24708,italian
24709,japanese
6136,southern_us
46752,italian
392,spanish
391,italian
43462,spanish
43463,italian
28189,greek
4727,italian
4721,indian
31901,chinese
32224,chinese
11288,southern_us
5844,french
5843,southern_us
16069,mexican
17620,italian
17627,cajun_creole
3742,italian
3743,korean
3741,mexican
13533,greek
4623,italian
13537,indian
13536,italian
28873,italian
14538,greek
41826,southern_us
11756,chinese
11751,italian
28708,italian
19562,french
16396,korean
16397,indian
11016,southern_us
20732,filipino
20735,thai
20881,mexican
20736,thai
18323,mexican
20889,southern_us
11011,italian
25544,southern_us
13289,italian
13288,southern_us
173,chinese
172,russian
13281,mexican
36302,british
36307,jamaican
13461,french
46300,french
46301,cajun_creole
46302,indian
46651,italian
42339,southern_us
21936,italian
21939,greek
21288,mexican
42336,mexican
42330,chinese
42332,british
45653,italian
45656,brazilian
20089,southern_us
41356,italian
45875,french
45874,chinese
20082,mexican
20081,chinese
48550,french
10393,mexican
10396,cajun_creole
10399,chinese
44659,moroccan
16933,thai
7211,indian
7216,cajun_creole
17884,southern_us
6217,mexican
6213,moroccan
6212,italian
42153,french
35110,mexican
16256,mexican
15709,southern_us
19975,mexican
15879,italian
6811,french
6810,thai
15702,thai
15873,french
15707,italian
29376,greek
29374,mexican
10572,cajun_creole
9758,mexican
18935,mexican
37307,mexican
18932,mexican
24141,chinese
37308,spanish
1013,mexican
8842,cajun_creole
8844,mexican
8845,italian
8846,moroccan
30628,cajun_creole
11849,cajun_creole
30621,southern_us
30626,italian
30625,japanese
40080,southern_us
26814,vietnamese
26813,brazilian
40086,mexican
37169,italian
30940,mexican
1766,mexican
40225,korean
33937,filipino
40227,mexican
40554,southern_us
40550,mexican
40229,mexican
29599,italian
18313,italian
14479,japanese
16381,mexican
1544,indian
47681,southern_us
694,french
1541,mexican
28425,italian
28356,southern_us
47688,greek
11112,mexican
28420,italian
8710,italian
30226,thai
34305,indian
8472,italian
13841,vietnamese
31577,southern_us
15163,french
13845,southern_us
30222,moroccan
18589,italian
38366,southern_us
5612,jamaican
12660,mexican
38369,southern_us
38368,chinese
48741,southern_us
35214,chinese
11569,cajun_creole
23264,mexican
23265,southern_us
47022,indian
11560,italian
11563,chinese
11565,southern_us
11566,greek
23269,korean
24586,southern_us
22243,italian
25736,chinese
25043,japanese
25732,irish
25730,cajun_creole
25731,southern_us
46793,italian
27396,spanish
27394,southern_us
27392,jamaican
39016,mexican
9961,thai
9968,thai
9969,italian
39018,southern_us
39019,filipino
45922,mexican
1173,thai
45924,moroccan
19918,southern_us
253,japanese
256,italian
32074,chinese
19917,japanese
16236,chinese
23650,russian
21611,japanese
12035,french
12034,chinese
40004,italian
9500,chinese
9506,italian
49099,italian
49548,southern_us
21637,southern_us
37610,italian
21635,indian
45464,italian
45461,italian
45463,italian
43145,italian
43147,indian
43142,mexican
26041,thai
23341,indian
26042,british
2510,italian
2511,korean
23340,italian
46515,mexican
46514,mexican
46844,mexican
46511,italian
11489,italian
46841,korean
3533,southern_us
3532,italian
5059,mexican
22814,italian
5056,mexican
5057,southern_us
5051,italian
5053,southern_us
38569,mexican
45793,southern_us
45795,french
45798,mexican
15308,italian
46315,french
36822,indian
36791,thai
36820,spanish
36795,french
10767,japanese
10768,mexican
36829,thai
14866,brazilian
14867,spanish
14640,italian
18897,italian
14647,mexican
14860,japanese
14861,french
18545,french
18898,mexican
18540,italian
18543,chinese
14869,indian
38620,thai
38621,filipino
38625,southern_us
13072,russian
45445,french
13077,italian
26459,korean
44220,italian
45843,italian
18761,cajun_creole
18762,mexican
33522,thai
33523,chinese
48056,italian
27553,southern_us
20275,indian
27801,chinese
48058,mexican
38197,southern_us
10185,indian
10181,mexican
10180,mexican
40625,vietnamese
14741,indian
40945,southern_us
40946,italian
29740,japanese
29745,italian
23079,russian
1158,cajun_creole
47230,chinese
47237,mexican
1150,irish
47234,filipino
30296,indian
30294,vietnamese
44796,mexican
15113,indian
15112,southern_us
29127,southern_us
29125,filipino
39579,cajun_creole
39578,japanese
39574,mexican
39577,italian
39576,mexican
39570,southern_us
39573,greek
31748,greek
31745,mexican
8034,french
8030,mexican
12859,thai
12589,jamaican
12588,southern_us
8523,mexican
12581,mexican
12580,british
34536,italian
12854,mexican
12857,filipino
35914,french
44916,italian
35911,southern_us
35910,italian
26608,japanese
35918,mexican
22656,french
12418,chinese
22651,moroccan
22653,italian
22659,british
26546,cajun_creole
26543,filipino
22382,french
22383,french
22380,indian
22381,southern_us
22385,italian
4294,southern_us
13980,italian
4293,mexican
23382,italian
23386,italian
23388,southern_us
28658,italian
24765,italian
23778,british
22035,italian
22037,irish
35665,japanese
35667,moroccan
35662,chinese
4743,southern_us
13673,korean
31967,cajun_creole
31964,british
31965,italian
32241,italian
32247,french
8985,italian
16005,italian
32249,italian
5861,southern_us
17358,mexican
17354,indian
17605,indian
17604,vietnamese
17602,thai
17600,mexican
25387,thai
25386,chinese
2187,italian
25381,chinese
2184,indian
13514,southern_us
13511,irish
25388,italian
23924,chinese
23920,french
15341,indian
6453,mexican
31834,chinese
32175,indian
12423,spanish
27233,indian
19585,southern_us
27239,southern_us
27238,southern_us
19581,italian
31837,italian
15346,southern_us
20860,italian
20862,korean
25563,southern_us
48830,mexican
25560,mexican
36367,chinese
36366,southern_us
25569,chinese
13911,irish
8131,italian
46679,french
42319,french
42313,mexican
49152,mexican
42310,italian
41691,mexican
49157,vietnamese
45329,mexican
2721,southern_us
45631,moroccan
48782,jamaican
45321,mexican
45632,italian
2728,italian
7237,cajun_creole
7946,italian
10375,spanish
7949,indian
7239,mexican
42172,indian
42491,cajun_creole
16916,southern_us
16911,mexican
16912,mexican
29362,southern_us
12204,thai
6237,greek
36585,italian
36584,french
29366,filipino
36589,italian
36588,italian
10510,chinese
9771,irish
10514,italian
18953,southern_us
14983,mexican
14985,italian
24169,southern_us
18954,italian
37365,mexican
14989,italian
24167,russian
24160,mexican
21401,southern_us
21403,jamaican
811,southern_us
813,italian
41379,mexican
817,italian
26835,southern_us
26837,chinese
26832,chinese
21436,italian
7818,mexican
31066,chinese
14189,greek
5266,italian
5265,italian
5264,indian
5261,brazilian
37189,vietnamese
14183,french
14185,mexican
14186,southern_us
15855,korean
15859,french
21085,moroccan
35610,french
32124,french
33955,vietnamese
18377,french
11134,mexican
18372,thai
33950,italian
24579,mexican
14329,italian
18378,chinese
24570,mexican
3029,southern_us
17988,greek
17989,french
28401,cajun_creole
3024,french
28407,mexican
3020,korean
30352,french
19443,italian
30350,jamaican
34980,italian
16372,chinese
8738,italian
34328,chinese
30609,italian
8734,italian
15589,indian
34323,french
34322,italian
8731,italian
31550,jamaican
31557,mexican
35057,mexican
31007,spanish
4193,chinese
4190,southern_us
35051,southern_us
5670,moroccan
5676,mexican
34481,italian
38385,southern_us
38381,mexican
38383,cajun_creole
38382,thai
34189,mexican
34186,jamaican
11217,chinese
40518,southern_us
8350,southern_us
23249,thai
23716,italian
23247,british
47001,italian
23242,vietnamese
18706,italian
8192,greek
12447,cajun_creole
15324,italian
15325,chinese
33500,spanish
12440,italian
30971,french
48854,russian
27005,italian
48853,jamaican
27000,cajun_creole
6438,chinese
39387,spanish
39380,french
30471,mexican
39388,korean
45706,korean
32583,mexican
30636,chinese
32585,korean
35292,french
6752,korean
6750,cajun_creole
19048,southern_us
21519,italian
9943,british
39038,italian
35581,cajun_creole
39036,thai
35589,indian
16217,mexican
32724,japanese
19935,italian
16213,cajun_creole
19931,jamaican
19242,indian
19249,southern_us
32728,korean
12053,japanese
12057,italian
12059,mexican
235,mexican
236,indian
42784,southern_us
43787,chinese
43786,mexican
43833,chinese
43783,italian
25711,mexican
43836,southern_us
21875,chinese
21876,southern_us
21656,italian
21658,indian
21879,mexican
26067,mexican
26066,italian
26064,french
45404,italian
45405,spanish
45409,mexican
26068,brazilian
2539,italian
2532,southern_us
27795,greek
46530,italian
46537,jamaican
46536,brazilian
33577,southern_us
38546,cajun_creole
38817,spanish
38816,italian
38541,cajun_creole
38540,southern_us
5072,french
5076,korean
22836,mexican
38548,greek
15327,chinese
9561,italian
939,korean
44424,thai
9565,italian
10749,thai
9567,italian
10745,italian
10744,mexican
10743,greek
10740,italian
25896,japanese
14669,southern_us
18569,italian
33728,southern_us
33729,mexican
18562,french
14846,mexican
33725,french
14664,italian
18565,southern_us
38608,french
38609,chinese
229,italian
38604,mexican
29760,mexican
44755,french
36113,japanese
44757,filipino
36111,cajun_creole
44751,irish
44202,italian
36114,korean
20319,british
33544,mexican
33545,southern_us
48079,cajun_creole
48074,southern_us
20297,chinese
48076,chinese
27827,french
41525,mexican
27821,british
41527,thai
797,thai
795,irish
29722,indian
29725,mexican
29727,italian
40922,vietnamese
40920,southern_us
1139,mexican
1132,italian
1130,greek
1135,southern_us
42977,italian
43722,korean
15134,mexican
26992,filipino
31767,greek
26997,indian
15950,spanish
26998,mexican
7140,indian
39556,brazilian
